,genres,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
10871,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10769, 'name': 'Foreign'}]",,tt0057697,ja,野獣の青春,"To infiltrate a criminal organization responsible for the death of one of his colleagues, the Detective Tajima adopts the behavior of of a brutal thug and plays opposing yakuza bosses against each other.",1.610094,/6v9bKms8XjTanDIRltItmQCY9uz.jpg,"[{'name': 'Nikkatsu', 'id': 955}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",21/4/1963,0,92,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Youth of the Beast,FALSE,6.3,23
44902,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",,tt0052932,en,Island of Lost Women,A plane crash-lands on a jungle island inhabited by a scientist and his nubile young daughters. Complications ensue.,0.209147,/7vEZdwnFDSm4yvbtaudtpdosKf.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Jaguar Productions', 'id': 15606}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/5/1959,0,71,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A Secret Eden Turned into a Raging Hell!,Island of Lost Women,FALSE,4.7,3
26231,"[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",http://www.madeinromaniathemovie.com,tt0963177,en,Made in Romania,"""Made In Romania"" is the story of a producer who is given the chance to realize his dream project; to film an adaptation of an obscure, beautifully written Victorian novel, ""The Tides of Reason"". Disillusioned after years of making low budget genre films, the producer readily accepts the demands of his less than legitimate financiers. Namely, the production be filmed entirely in Romania to take advantage of a complicated and slightly suspicious tax deal. Shot in documentary style, this behind-the-scenes comedy deftly and inexorably exposes the painful reality of runaway film production. Way off the radar in deepest, darkest, rural Romania the hopelessly disconnected production veers swiftly off the tracks as bizarre personalities, cultural, economic and language issues quickly combine to send the production spiraling into hysteria. Written by Neil Monaghan",0.14258,/bQgFUVXYjsJlo3T9p9T6CgFnGir.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'RO', 'name': 'Romania'}]",28/12/2010,0,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Made in Romania,FALSE,4.8,2
41948,"[{'id': 99, 'name': 'Documentary'}]",,tt3062328,en,Superheroes: A Never-Ending Battle,"Examines the dawn of the comic book genre and its powerful legacy, as well as the evolution of the characters who leapt from the pages over the last 75 years and their ongoing worldwide cultural impact. It chronicles how these disposable diversions were subject to intense government scrutiny for their influence on American children and how they were created in large part by the children of immigrants whose fierce loyalty to a new homeland laid the foundation for a multi-billion-dollar industry that is an influential part of our national identity.",1.25125,/gtzfPIJtyPIGFpnvEYuBAUw90D4.jpg,[],[],8/10/2013,0,156,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Superheroes: A Never-Ending Battle,FALSE,8,2
42024,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,tt0092288,en,The Zero Boys,A group of friends travel to a wilderness area to play a survival game. Soon they unexpectedly find themselves in a real-life survival situation.,1.176132,/31GxwHBfb5sup9os3XdoirVjO6p.jpg,"[{'name': 'Omega Entertainment', 'id': 8101}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/1/1986,0,89,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Dawn Of A New Breed Of Heroes,The Zero Boys,FALSE,5.3,8
13459,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",,tt1214983,en,Screamers: The Hunting,"A group of humans arrive on Sirius 6-B to investigate an SOS signal sent out from the planet, which has been supposedly deserted since the destruction of the man-made weapons known as ""screamers."" Once the squad arrives, they find a group of human survivors eking out an existence in an old military outpost.",4.92638,/kZ1LcCC7zUoa9oCa5q1MkduwWIF.jpg,"[{'name': 'Pope Productions', 'id': 2974}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",17/2/2009,0,94,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Perfect Weapon Is Now The Ultimate Killing Machine,Screamers: The Hunting,FALSE,4.4,35
20604,[],,tt1849759,es,El Dedo,"In this lively Spanish-Argentine comic fantasy, two luckless actors get angry and with the help of a high school drama class jolt a sleepy, rural Argentina town into taking much-needed political action.",0.007498,/wRPgzCiuUcu490Z2XNiKKIVLjTj.jpg,[],"[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",26/5/2011,0,93,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,The Finger,FALSE,0,0
19099,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",http://www.warnerbros.com/rock-ages,tt1336608,en,Rock of Ages,"A small town girl and a city boy meet on the Sunset Strip, while pursuing their Hollywood dreams.",12.558042,/k5au98wpdbViuRWZMy6RbxMBXjl.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Offspring Entertainment', 'id': 2378}, {'name': 'Corner Store Entertainment', 'id': 8871}, {'name': 'Material Pictures', 'id': 12139}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",13/6/2012,59418613,123,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}]",Released,Nothin' but a good time,Rock of Ages,FALSE,6,392
39515,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.lakeeeriemovie.com/,tt2948078,en,Lake Eerie,"A young widow moves into an old house on Lake Erie to recover from the sudden loss of her husband; however, she soon discovers a dark secret and that she is not alone.",3.264722,/wqsGwJSdR5X7BxfTJmCEpx0GHS9.jpg,"[{'name': 'Solid Weld Production', 'id': 43436}, {'name': 'Savage Beast Film', 'id': 43437}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",15/1/2016,0,104,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A dark secret locked away...will soon be discovered.,Lake Eerie,FALSE,3.4,28
9322,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.excelmovies.com/,tt0292490,en,Dil Chahta Hai,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",4.558793,/3Rwy4UjWBGEbD23xjyeBsL3OnXQ.jpg,"[{'name': 'Excel Entertainment', 'id': 2934}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",24/7/2001,4099000,183,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'iso_639_1': 'ur', 'name': 'اردو'}]",Released,Welcome to a summer of their lives you will never forget.,Dil Chahta Hai,FALSE,7.1,71
6147,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,tt0304328,en,Levity,"Manuel Jordan is a man who is free after serving 23 years for killing a teenager during an attempted robbery. After nearly two decades of staring at his victim's face on a newspaper clipping in his cell, the paroled man attempts to find redemption, in the form of a mysterious minister and two needy women",2.400607,/eNRxOW2rRapTsEMpXnYfSZy38Ul.jpg,"[{'name': 'Sony Pictures Classics', 'id': 58}, {'name': 'StudioCanal', 'id': 694}, {'name': 'FilmColony', 'id': 1811}, {'name': 'Echo Lake Entertainment', 'id': 22308}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",16/3/2003,209151,100,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,How you gonna make it right?,Levity,FALSE,5.9,26
22442,[],,tt0109760,en,The Expert,"It was a brutal murder that sent deranged psychopath Martin Kagan to prison. It was a naive deputy warden that granted him a stay of execution. Now, the police department's tactical defence instructor, John Lomax, wants revenge for his beloved sister's death.",0.12784,/1E6MbiCNVE5Aq3YuwyrKRF7p240.jpg,[],[],15/8/1995,0,92,[],Released,Judge. Jury. Executioner.,The Expert,FALSE,5.7,3
42820,"[{'id': 10402, 'name': 'Music'}]",http://www.rollingstones.com/2016/07/28/the-rolling-stones-in-cuba-concert-film-havana-moon-to-be-premiered-in-cinemas-for-one-night-only/,tt5929796,en,The Rolling Stones - Havana Moon,"The historic concert appearance of the British band in Cuba on March 25th, 2016. The ""Concert for Amity"" was and played at the Ciudad Deportiva Stadium - the bands first show in Cuba and the finale of their South America Tour.",0.403823,/sdtZOQaIneBjr0dLdemtAHXNuhO.jpg,"[{'name': 'EagleVision, Inc.', 'id': 84374}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",23/9/2016,0,116,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Rolling Stones - Havana Moon,TRUE,7,3
254,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",,tt0113538,en,A Kid in King Arthur's Court,"A Southern California kid named Calvin Fuller is magically transported to the medieval kingdom of Camelot through a crack in the ground caused by an earthquake. Once there, he learns he was summoned by the wizard Merlin, who needs Calvin to save Camelot. Using dazzling modern inventions, can Calvin help King Arthur retain his crown and thwart the evil Lord Belasco?",5.874511,/iklPPdF1TQFPmRyVu0SH0yF1gdt.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Trimark Pictures', 'id': 4063}]",[],11/8/1995,0,89,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Joust Do It.,A Kid in King Arthur's Court,FALSE,4.3,40
1696,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",,tt0119574,en,Love and Death on Long Island,"Giles De'Ath is a widower who doesn't like anything modern. He goes to movies and falls in love with film star, Ronnie Bostock. He then investigates everything about the movie and Ronnie. After that he travels to Long Island city where Ronnie lives and meets him, pretending that Ronnie is a great actor and that's why Giles admires him.",0.785094,/ajcYe8jGil6NSyUQ6KkMIcNUXBI.jpg,"[{'name': 'Arts Council of England', 'id': 718}, {'name': 'British Broadcasting Corporation (BBC)', 'id': 3324}, {'name': 'British Screen Productions', 'id': 20777}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1/1/1997,0,93,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Love and Death on Long Island,FALSE,6.9,11
42242,"[{'id': 18, 'name': 'Drama'}]",,tt5974388,ar,Bar Bahar,"IN BETWEEN captures the daily duality of three young Palestinian women in Tel Aviv, caught between hometown tradition and big city abandon, and the price they must pay for a lifestyle that seems obvious to many: the freedom to work, party, fuck, and choose.",2.481935,/vv8RG6clhuGbkjHMwR4ouF0yHta.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IL', 'name': 'Israel'}]",25/11/2016,0,96,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}]",Released,,In Between,FALSE,7.4,17
31919,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 10769, 'name': 'Foreign'}]",,tt0088107,cn,Sheng gang qi bing,"An ultra-violent and ultra-gritty tale of desperate Chinese would-be jewel thieves hoping to make a quick, effortless score in Hong Kong. Naturally, things go afoul, and the gang must hide out until the heat dies down, besmirched with the blood of an undercover cop. A progenitor of sorts of both ""City on Fire"" and ""Reservoir Dogs,"" but lacking the romantic melodrama of the former and the hipster staginess of the latter. Winner of Hong Kong Film Awards for both Best Film and Best Director. Spawned a franchise with three sequels.",0.979872,/fvTlTAzfgovpFItha8egDw1cVmc.jpg,[],"[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",11/7/1984,0,100,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,,Long Arm of the Law,FALSE,6.3,8
36740,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",,tt0223503,ja,"Ihatôbu gensô, Kenji no haru","Set in the beginning of the 20th century Japan, the film follows the bright and eccentric Kenji from his late student years through his adulthood. Kenji suffers the tragedy of being an artist who's art isn't recognized during his lifetime. Based on the life of the author Kenji Miyazawa, the film depicts his brief but intense existence.",0.037028,/fKhZaEnwKnPykTGw7sRlmd3g1YU.jpg,[],"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",14/12/1996,0,55,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Spring and Chaos,FALSE,8,1
9010,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,tt0105197,zh,秋菊打官司,"The Story of Qiu Ju is a 1992 Chinese comedy-drama film. The film was directed by Zhang Yimou and, as in many of his films, stars Gong Li in the title role. The screenplay is an adaption of Chen Yuanbin's novella The Wan Family's Lawsuit. The film tells the story of a peasant woman, Qiu Ju, who lives in a rural area of China. When her husband is kicked in the groin by the village head, Qiu Ju, despite her pregnancy, travels to a nearby town, and later a big city to deal with its bureaucrats and find justice.",2.063614,/aiT5vWsrSC9dNKxIjoR9T4NRnE1.jpg,[],"[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",2/10/1992,0,100,"[{'iso_639_1': 'zh', 'name': '普通话'}]",Released,,The Story of Qiu Ju,FALSE,7.2,27
10645,"[{'id': 35, 'name': 'Comedy'}]",,tt0452598,en,Cheaper by the Dozen 2,"Steve Martin and Bonnie Hunt return as heads of the Baker family who, while on vacation, find themselves in competition with a rival family of eight children, headed by Eugene Levy,",7.101422,/ftrEtXOMnYzF5k14tBJiS3MYby2.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': '21 Laps Entertainment', 'id': 2575}, {'name': 'Dozen Canada Productions', 'id': 87840}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",21/12/2005,129181830,94,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Same Big Family... Even Bigger Adventure.,Cheaper by the Dozen 2,FALSE,5.8,542
1622,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",,tt0119137,en,Flubber,"Professor Phillip Brainard, an absent minded professor, works with his assistant Weebo, trying to create a substance that's a new source of energy and that will save Medfield College where his sweetheart Sara is the president. He has missed his wedding twice, and on the afternoon of his third wedding, Professor Brainard creates flubber, which allows objects to fly through the air.",7.016942,/xrbkE6g2myJPLWxNy52yL2MJJHX.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Great Oaks Entertainment', 'id': 2173}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",26/11/1997,177977226,93,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Catch it if you can!,Flubber,FALSE,5.3,707
34747,"[{'id': 35, 'name': 'Comedy'}]",,tt0254926,en,100 Gramm dlya Khrabrosti,A very shy man takes 100 grams of vodka and... adventures begin.,0.573899,/eMlteKE8EfK6lpoScy57m1ZLi3V.jpg,"[{'name': 'Mosfilm', 'id': 5120}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1/1/1976,0,72,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,100 grams for Bravery,FALSE,4,2
15285,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",,tt1263679,en,Firaaq,"Firaaq is an Urdu word that means both separation and quest. The film is a work of fiction, based on a thousand stories. The story is set over a 24-hour period, one month after a campaign that took place in Gujarat, India, in 2002. It traces the emotional journey of ordinary people- some who were victims, some perpetrators and some who choose to watch silently.",0.320519,/iGyMvgYEskU23ccx7bXhayVawHD.jpg,[],[],1/1/2009,0,0,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Firaaq,FALSE,5,1
9072,"[{'id': 99, 'name': 'Documentary'}]",http://www.vce.com/trinity.html,tt0114728,en,Trinity And Beyond: The Atomic Bomb Movie,"""Trinity and Beyond"" is an unsettling yet visually fascinating documentary presenting the history of nuclear weapons development and testing between 1945-1963. Narrated by William Shatner and featuring an original score performed by the Moscow Symphony Orchestra, this award-winning documentary reveals previously unreleased and classified government footage from several countries.",2.305626,/hFm4pS6M8UNQH5TLy1a2Ekyj91b.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",29/9/1995,0,92,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Trinity And Beyond: The Atomic Bomb Movie,FALSE,6.9,14
11644,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10769, 'name': 'Foreign'}]",,tt0055858,it,La commare secca,"Near the Tiber river, in a Roman park, a prostitute was killed. The police tracks down people that were inside the park during that night. They are questioned and have to explain why they were there. One of them is the killer.",0.690606,/5vLDX6w3pwy6sUFlGkn0hPfKeQv.jpg,"[{'name': 'Cinematografica Cervi', 'id': 7108}, {'name': 'Cineriz', 'id': 9387}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",19/9/1962,0,88,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,The Grim Reaper,FALSE,6.8,16
21503,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",,tt0364447,ko,조폭 마누라 2: 돌아온 전설,"Former Scissor Gang leader Eun-jin (Shin Eun-kyung), who now suffers from amnesia, nevertheless defends Jae-cheol (Jun Gyu Park), a restaurateur who employs her, from a gangster who wants his business.",1.464944,/kHz3olgeW2fNZjoZLIhf4l3eiTE.jpg,[],"[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",5/9/2003,0,110,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,My Wife Is a Gangster 2,FALSE,6.4,9
8630,"[{'id': 18, 'name': 'Drama'}]",,tt0063050,en,The Heart Is a Lonely Hunter,"Singer is a deaf-mute whose small world brings him in contact with a young girl, Mick, who cherishes a seemingly hopeless dream of becoming a concert pianist. At first hostile, Mick soon becomes friends with Singer, hoping to enlarge his small world. Three other central characters come to Singer for help also, each of them seeing in him a powerful force.",3.601834,/4qMsFL5vkqxEz2NHDF4RAwohtfp.jpg,"[{'name': 'Warner Brothers/Seven Arts', 'id': 4051}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",31/7/1968,0,123,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"...and from this man who could not speak or hear, the girl heard many things.",The Heart Is a Lonely Hunter,FALSE,7.2,14
18737,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",http://www.theluckymovie.com/,tt1473397,en,Lucky,A wannabe serial killer wins the lottery and pursues his lifelong crush.,8.954166,/5chaqPFAMUiegLio2Y7W1EgPf5j.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",15/7/2011,0,103,[],Released,Even a serial killer can win the lottery,Lucky,FALSE,4.9,31
15180,"[{'id': 37, 'name': 'Western'}, {'id': 28, 'name': 'Action'}]",,tt0027255,en,Aces and Eights,A card sharp steps in when a Mexican family's ranch is threatened by swindlers and cheats.,0.051886,/jl31aXDLu5s7w14SmzD6W5rc20Z.jpg,[],[],6/6/1936,0,62,[],Released,Gentleman Tim Deals A Death Hand In A Crooked Game!,Aces and Eights,FALSE,6,1
